"id_rider","id_team_fk","rider_full_name","rider_name","rider_lastname","season","rider_number","racing_class","rounds_string","rounds_participated","rider_weight","rider_height","loc_birth","date_birth","birth_latitude","birth_longitude"
1433,1478,Loris Capirossi,Loris,Capirossi,2009,65,motogp,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",59,165,Bologna,1973-04-04,44.4938203,11.3426327
2539,2600,Alex Lowes,Alex,Lowes,2016,22,motogp,"{12,13,14}","{12,13,14}",66,184,,2004-02-21,-23.5506507,-46.6333824
926,902,Mattia Pasini,Mattia,Pasini,2006,75,"125cc","{1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17}","{1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17}",67,178,Rimini,1985-08-13,43.9470982,12.630768610516004
3539,3586,Alberto Surra,Alberto,Surra,2023,67,moto2,"{10,11,12,13,14,15,16,17}","{10,11,12,13,14,15,16,17}",,,Torino,2004-05-31,45.0677551,7.6824892
623,652,Carlos Checa,Carlos,Checa,2005,7,motogp,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",57,174,Valencia,2003-05-07,39.4697065,-0.3763353
2274,2335,Hafiq Azmi,Hafiq,Azmi,2014,38,moto3,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",,,,,,
2272,2335,Gabriel Rodrigo,Gabriel,Rodrigo,2014,91,moto3,{9},{9},61,168,Barcelona,1996-10-12,41.3828939,2.1774322
3690,3580,Zonta van den Goorbergh,Zonta,van den Goorbergh,2023,84,moto2,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",60,178,,2005-12-01,,
1856,1785,Raffaele de Rosa,Raffaele,de Rosa,2011,35,moto2,{8},{8},,,,,,
1819,1796,Louis Rossi,Louis,Rossi,2011,96,"125cc","{1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18}","{1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18}",,,,,,
1713,1827,Aleix Espargaró,Aleix,Espargaró,2011,40,moto2,"{1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18}","{1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18}",66,180,Granollers,1989-07-30,41.6079555,2.2876008
1465,1387,Nicky Hayden,Nicky,Hayden,2009,69,motogp,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",,,Owensboro,1981-07-30,37.7742152,-87.1133304
3514,3521,Syarifuddin Azman,Syarifuddin,Azman,2022,63,moto3,"{9,19}","{9,19}",58,163,,2001-11-24,,
13,198,Alex Hofmann,Alex,Hofmann,2002,66,motogp,"{8,9}","{8,9}",,,,,,
437,581,Dani Pedrosa,Daniel,Pedrosa,2004,26,"250cc","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",,,Sabadell,1985-09-29,41.5421013,2.1138977
3503,3521,Scott Ogden,Scott,Ogden,2022,19,moto3,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",60,175,,2003-10-16,,
31,90,Claudius Klein,Claudius,Klein,2002,73,"125cc",{9},{9},,,,,,
3504,3383,Sean Dylan Kelly,Sean Dylan,Kelly,2022,4,moto2,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",68,178,Miami,2002-05-17,25.7741728,-80.19362
86,143,Jascha Büsch,Jascha,Büsch,2002,74,"125cc",{9},{9},,,,,,
738,630,Nicolás Terol,Nicolás,Terol,2005,18,"125cc","{1,2,3,4,5,6,7,9,10,11,15,16,17}","{1,2,3,4,5,6,7,9,10,11,15,16,17}",66,171,Alcoy,1988-09-27,38.6982275,-0.4747767
