"id_constructor","des_constructor","racing_class","season"
341,Honda,moto3,2017
342,Honda,motogp,2017
343,Kalex,moto2,2017
344,KTM,moto2,2017
345,KTM,moto3,2017
346,KTM,motogp,2017
347,Mahindra,moto3,2017
348,NTS,moto2,2017
349,Peugeot,moto3,2017
350,Speed Up,moto2,2017
351,Suter,moto2,2017
352,Suzuki,motogp,2017
353,Tech 3,moto2,2017
354,Yamaha,motogp,2017
355,Aprilia,motogp,2018
356,Ducati,motogp,2018
357,Honda,moto2,2018
358,Honda,moto3,2018
359,Honda,motogp,2018
360,Kalex,moto2,2018
361,KTM,moto2,2018
362,KTM,moto3,2018
363,KTM,motogp,2018
364,NTS,moto2,2018
365,Speed Up,moto2,2018
366,Suter,moto2,2018
367,Suzuki,motogp,2018
368,Tech 3,moto2,2018
369,TM Racing,moto3,2018
370,TransFIORmers,moto2,2018
371,Yamaha,motogp,2018
372,Aprilia,motogp,2019
373,Ducati,motogp,2019
374,Energica,moto-e,2019
375,Honda,moto3,2019
376,Honda,motogp,2019
377,Kalex,moto2,2019
378,Kalex KTM,moto3,2019
379,KTM,moto2,2019
380,KTM,moto3,2019
381,KTM,motogp,2019
382,MV Agusta,moto2,2019
383,NTS,moto2,2019
384,Speed Up,moto2,2019
385,Suzuki,motogp,2019
386,TM Racing,moto3,2019
387,Yamaha,motogp,2019
388,Aprilia,motogp,2020
389,Ducati,motogp,2020
390,Energica,moto-e,2020
391,Honda,moto3,2020
392,Honda,motogp,2020
393,Husqvarna,moto3,2020
394,Kalex,moto2,2020
395,KTM,moto3,2020
396,KTM,motogp,2020
397,MV Agusta,moto2,2020
398,NTS,moto2,2020
399,Speed Up,moto2,2020
400,Suzuki,motogp,2020
401,Yamaha,motogp,2020
402,Aprilia,motogp,2021
403,Boscoscuro,moto2,2021
404,Ducati,motogp,2021
405,Energica,moto-e,2021
406,Gas Gas,moto3,2021
407,Honda,moto3,2021
408,Honda,motogp,2021
409,Husqvarna,moto3,2021
410,Kalex,moto2,2021
411,KTM,moto3,2021
412,KTM,motogp,2021
413,MV Agusta,moto2,2021
414,NTS,moto2,2021
415,Suzuki,motogp,2021
416,Yamaha,motogp,2021
417,Aprilia,motogp,2022
418,Boscoscuro,moto2,2022
419,CFMoto,moto3,2022
420,Ducati,motogp,2022
421,Energica,moto-e,2022
422,Gas Gas,moto3,2022
423,Honda,moto3,2022
424,Honda,motogp,2022
425,Husqvarna,moto3,2022
426,Kalex,moto2,2022
427,KTM,moto3,2022
428,KTM,motogp,2022
429,MV Agusta,moto2,2022
430,Suzuki,motogp,2022
431,Yamaha,motogp,2022
432,Aprilia,motogp,2023
433,Boscoscuro,moto2,2023
434,CFMoto,moto3,2023
435,Ducati,moto-e,2023
436,Ducati,motogp,2023
437,Forward,moto2,2023
438,Gas Gas,moto3,2023
439,Honda,moto3,2023
440,Honda,motogp,2023
441,Husqvarna,moto3,2023
442,Kalex,moto2,2023
443,KTM,moto3,2023
444,KTM,motogp,2023
445,NTS,moto2,2023
446,Yamaha,motogp,2023
